Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1986","1986","kg/pc","8.18","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1986","1986","kg/1000 Int.$","41.54","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1987","1987","t","5702900","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1987","1987","kg/ha","33.6","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1987","1987","kg/pc","6.99","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1987","1987","kg/1000 Int.$","36.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1988","1988","t","7157500","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1988","1988","kg/ha","42.26","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1988","1988","kg/pc","8.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1988","1988","kg/1000 Int.$","41.65","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1989","1989","t","7150900","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1989","1989","kg/ha","42.07","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1989","1989","kg/pc","8.39","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1989","1989","kg/1000 Int.$","39.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1990","1990","t","7565500","X","Figure from international organizations",""
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1990","1990","kg/ha","44.47","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1990","1990","kg/pc","8.69","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1990","1990","kg/1000 Int.$","41.11","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1991","1991","t","8046272","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1991","1991","kg/ha","47.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1991","1991","kg/pc","9.05","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1991","1991","kg/1000 Int.$","41.58","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1992","1992","t","8426735","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1992","1992","kg/ha","49.57","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1992","1992","kg/pc","9.28","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1992","1992","kg/1000 Int.$","41.92","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1993","1993","t","8778871","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1993","1993","kg/ha","51.55","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1993","1993","kg/pc","9.48","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1993","1993","kg/1000 Int.$","42.92","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1994","1994","t","9507169","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1994","1994","kg/ha","55.82","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1994","1994","kg/pc","10.06","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1994","1994","kg/1000 Int.$","44.91","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1995","1995","t","9822852","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1995","1995","kg/ha","57.81","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1995","1995","kg/pc","10.19","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1995","1995","kg/1000 Int.$","45.16","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1996","1996","t","10315919","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1996","1996","kg/ha","60.85","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1996","1996","kg/pc","10.49","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1996","1996","kg/1000 Int.$","45.9","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1997","1997","t","10901899","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1997","1997","kg/ha","64.09","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1997","1997","kg/pc","10.88","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1997","1997","kg/1000 Int.$","47.29","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1998","1998","t","11353755","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1998","1998","kg/ha","66.78","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1998","1998","kg/pc","11.12","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1998","1998","kg/1000 Int.$","48.09","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1999","1999","t","11586250","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","356","India","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","1999","1999","kg/ha","68.1","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5172","Use per capita","3102","Nutrient nitrogen N (total)","1999","1999","kg/pc","11.14","E","Estimated value",""
"RFN","Fertilizers by Nutrient","356","India","5173","Use per value of agricultural production","3102","Nutrient nitrogen N (total)","1999","1999","kg/1000 Int.$","46.91","E","Estimated value",""
